Study,DOI,Substance,Abbreviation,CAS,Smiles,Species,Sex,Tissue,Exposure Concentration (ug/L),Exposure (days),Depuration (days),Mixture,PFBS_mixture,PFHxS_mixture,PFOS_mixture,PFBA_mixture,PFPA_mixture,PFHxA_mixture,PFHpA_mixture,PFOA_mixture,PFNA_mixture,PFDA_mixture,PFUnA_mixture,PFDoA_mixture,PFTrDA_mixture,PFTeDA_mixture,PFHxPA_mixture,PFOPA_mixture,PFDPA_mixture,C6/C6_PFPiA_mixture,C6/C8_PFPiA_mixture,C8/C8_PFPiA_mixture,C6/C10_PFPiA_mixture,C8/C10_PFPiA_mixture,C6/C12_PFPiA_mixture,log(BCF) (L/Kg)
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,plasma,2.51,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.6
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,plasma,17.8,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.41
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,liver,2.51,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.24
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,liver,17.8,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.27
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,muscle,2.51,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,NA
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,muscle,17.8,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,0.66
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,ovary,2.51,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.72
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,ovary,17.8,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.82
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,whole body,2.51,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.29
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutane sulfonic acid,PFBS,375-73-5,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Danio rerio,female,whole body,17.8,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.44
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.69,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.94
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,8.59,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.58
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.69,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.56
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,liver,8.59,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.39
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,0.69,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.69
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,8.59,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.56
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,0.69,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.74
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,8.59,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.58
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,0.69,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.4
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexane sulfonic acid,PFHxS,355-46-4,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,8.59,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.23
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,1.12,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,4.12
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,15.2,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,3.77
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,1.12,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,3.64
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,15.2,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,3.55
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,1.12,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.86
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,15.2,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,2.73
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,1.12,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,3.82
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,15.2,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,3.51
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,1.12,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,3.5
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorooctane sulfonic acid,PFOS,1763-23-1,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,15.2,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,3.23
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutyric acid,PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,1.21,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutyric acid,PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,6.71,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.86
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutyric acid,PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,1.21,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,2.15
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutyric acid,PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,6.71,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.8
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutyric acid,PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,1.21,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,0.44
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutyric acid,PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,6.71,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.05
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutyric acid,PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,1.21,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.06
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutyric acid,PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,ovary,6.71,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.3
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutyric acid,PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,1.21,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.12
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorobutyric acid,PFBA,375-22-4,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Danio rerio,female,whole body,6.71,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.24
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexanoic acid,PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,1.22,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.78
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexanoic acid,PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,plasma,7.02,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.61
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexanoic acid,PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,1.22,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,1.73
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexanoic acid,PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,liver,7.02,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,1.7
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexanoic acid,PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,1.22,24,24,TRUE,2.15,0.69,1.12,1.21,0,1.22,0,0.86,0.69,1.57,2.03,1.79,0.73,3,4.52,1.61,0.66,0.22,0.000506,0.0000372,0.0000264,0.00001,0.0000335,0.75
Chen et al. (2016),http://dx.doi.org/10.1016/j.scitotenv.2016.05.215 ,Perfluorohexanoic acid,PFHxA,307-24-4,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Danio rerio,female,muscle,7.02,24,24,TRUE,17.8,8.59,15.2,6.71,0,7.02,0,6.64,3.63,3.47,14.8,11.6,8.87,3,4.39,6.46,4.179,5.11,0.057,0.00237,0.00208,0.00335,0.00445,0.67
